video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
dJSNw07u_Pw,Thanh niÍn g?c Vi?t t? vong nghi do s?c thu?c t?i l? h?i ‚m nh?c Australia| VTC14,177,News,TV,,,,,9/21/2018 3:20
31D_m_Bgy5o,Ng??i b? tim m?ch nÍn ?n u?ng nh? th? n‡o? | VTC14,177,News,TV,,,,,9/21/2018 3:20
W8TxQqqCyzM,S?n La: 21 h? d‚n b? ?e d?a b?i v?t n?t d‡i 300m| VTC14,177,News,TV,,,,,9/21/2018 3:20
8_WytaI3Ynk,B?n tin Giao thÙng an to‡n ng‡y 19/09/2018 | VTC14,177,News,TV,,,,,9/21/2018 3:20
N2kSXkL4QYM,Ngh? An: L? quÈt trong ?Ím l‡m ng?p nhi?u n?i | VTC14,177,News,TV,,,,,9/21/2018 3:20
HGFUTYRZKrc,SÛc Tr?ng: b?t gi? t‡u ch? 200 nghÏn lÌt x?ng tr·i phÈp| VTC14,177,News,TV,,,,,9/21/2018 3:20
OYq9eq5nv8s,Nhi?u nh‡ d‚n bi?n th‡nh sÙng sau c?n m?a l?n ? Qu?ng Ninh | VTC14,177,News,TV,,,,,9/21/2018 3:20
3myv1BONhOA,Nh‡ m·y thÈp x? khÌ th?i ??c h?i ? B‡ R?a ñ V?ng T‡u: ch? l‡ s? c??| VTC14,177,News,TV,,,,,9/21/2018 3:20
v0V5pj85DDY,B?c v‡ Trung b? m?a l?n do ho‡n l?u b„o s? 6 | VTC14,177,News,TV,,,,,9/21/2018 3:20
Cxu7wnmwgGY,"Nghi s?c ma t˙y t?p th?: 7 ng??i ch?t, 5 ng??i hÙn mÍ| VTC14",177,News,TV,,,,,9/21/2018 3:20
M9wMKLGPFIQ,Nhi?u ng??i tr?ng tay sau v? ch·y g?n B?nh vi?n Nhi Trung ??ng | VTC14,177,News,TV,,,,,9/21/2018 3:20
rFetusuGJOI,Ma t˙y m?i v‡ nh?ng hi?m h?a| VTC14,177,News,TV,,,,,9/21/2018 3:20
3Vhl5sJc_1Y,Ma t˙y t?ng h?p g‚y ng? ??c nh? th? n‡o? | VTC14,177,News,TV,,,,,9/21/2018 3:20
tsuHwNeg9BA,"B„o s? 6 tan, Qu?ng Ninh v?n c?m bi?n| VTC14",177,News,TV,,,,,9/21/2018 3:20
59Z4iC2NZ6s,Ph·t hi?n ketamine trong v? 7 ng??i t? vong ? CÙng viÍn n??c H? T‚y | VTC14,177,News,TV,,,,,9/21/2018 3:20
mfylhVxVz-w,"B„o s? 6 tan d?n, mi?n B?c cÚn m?a nhi?u trong ?Ím nay| VTC14",177,News,TV,,,,,9/21/2018 3:20
